Link,Name,IATA,ICAO,Location,Latitude,Longitude
https://en.wikipedia.org/wiki/Mafia_Airport,Mafia Airport,MFA,HTMA,"Mafia Island, Tanzania",-7.91388888888889,39.666666666666664
https://en.wikipedia.org/w/index.php?title=Monfort_Airport&action=edit&redlink=1,Monfort Airport,MFB,,"Monfort, Colombia",,
https://en.wikipedia.org/wiki/Mafeteng_Airport,Mafeteng Airport,MFC,FXMF,"Mafeteng, Lesotho",-29.80138888888889,27.244444444444447
https://en.wikipedia.org/wiki/Mansfield_Lahm_Regional_Airport,Mansfield Lahm Regional Airport,MFD,KMFD,"Mansfield, Ohio, United States",40.82138888888889,-82.51666666666667
https://en.wikipedia.org/wiki/McAllen_Miller_International_Airport,McAllen Miller International Airport,MFE,KMFE,"McAllen, Texas, United States",26.175833333333333,-98.23861111111111
https://en.wikipedia.org/wiki/Moanda_Airport,Moanda Airport,MFF,FOOD,"Moanda, Gabon",-1.527,13.251
https://en.wikipedia.org/wiki/Muzaffarabad_Airport,Muzaffarabad Airport,MFG,OPMF,"Muzaffarabad, Pakistan",34.33916666666667,73.50861111111111
https://en.wikipedia.org/wiki/Mesquite_Airport,Mesquite Airport (FAA: 67L),MFH,,"Mesquite, Nevada, United States",36.83305555555556,-114.05583333333333
https://en.wikipedia.org/wiki/Marshfield_Municipal_Airport_(Wisconsin),Marshfield Municipal Airport,MFI,KMFI,"Marshfield, Wisconsin, United States",44.636944444444445,-90.18944444444445
https://en.wikipedia.org/wiki/Moala_Airport,Moala Airport,MFJ,NFMO,"Moala Island, Fiji",-18.566944444444445,179.9511111111111
https://en.wikipedia.org/wiki/Matsu_Beigan_Airport,Matsu Beigan Airport[1],MFK,RCMT,"Beigan, Taiwan",26.223888888888887,120.0025
https://en.wikipedia.org/w/index.php?title=Mount_Full_Stop_Airport&action=edit&redlink=1,Mount Full Stop Airport[1],MFL,,"Wandovale, Queensland, Australia",,
https://en.wikipedia.org/wiki/Macau_International_Airport,Macau International Airport,MFM,VMMC,Macau,22.149444444444445,113.59138888888889
https://en.wikipedia.org/wiki/Milford_Sound_Airport,Milford Sound Airport,MFN,NZMF,"Milford Sound, New Zealand",-44.67333333333333,167.92333333333332
https://en.wikipedia.org/wiki/Manguna_Airport,Manguna Airport,MFO,,"Manguna, Papua New Guinea",-5.5776666666666666,151.7925
https://en.wikipedia.org/w/index.php?title=Manners_Creek_Airport&action=edit&redlink=1,Manners Creek Airport[1],MFP,YMCR,"Manners Creek Station, Northern Territory, Australia",,
https://en.wikipedia.org/wiki/Maradi_Airport,Maradi Airport,MFQ,DRRM,"Maradi, Niger",13.502777777777778,7.125
https://en.wikipedia.org/wiki/Rogue_Valley_International%E2%80%93Medford_Airport,Rogue Valley International–Medford Airport,MFR,KMFR,"Medford, Oregon, United States",42.37416666666667,-122.8736111111111
https://en.wikipedia.org/wiki/Miraflores_Airport,Miraflores Airport,MFS,SKMF,"Miraflores, Colombia",1.336111111111111,-71.95277777777778
https://en.wikipedia.org/wiki/Mfuwe_Airport,Mfuwe Airport,MFU,FLMF,"Mfuwe, Zambia",-13.258888888888889,31.93611111111111
https://en.wikipedia.org/wiki/Accomack_County_Airport,Accomack County Airport,MFV,KMFV,"Melfa, Virginia, United States",37.64666666666667,-75.76083333333334
https://en.wikipedia.org/w/index.php?title=Magaruque_Airport&action=edit&redlink=1,Magaruque Airport,MFW,,"Magaruque Island, Mozambique",,
https://en.wikipedia.org/wiki/M%C3%A9ribel_Altiport,Méribel Altiport,MFX,LFKX,"Méribel, Rhône-Alpes, France",45.407003,6.577942
https://en.wikipedia.org/w/index.php?title=Mayfa%27ah_Airport&action=edit&redlink=1,Mayfa'ah Airport,MFY,,"Mayfa'ah, Yemen",,
https://en.wikipedia.org/w/index.php?title=Meselia_Airport&action=edit&redlink=1,Meselia Airport,MFZ,,"Meselia, Papua New Guinea",,
https://en.wikipedia.org/wiki/Augusto_C._Sandino_International_Airport,Augusto C. Sandino International Airport,MGA,MNMG,"Managua, Nicaragua",12.141388888888889,-86.16805555555555
https://en.wikipedia.org/wiki/Mount_Gambier_Airport,Mount Gambier Airport,MGB,YMTG,"Mount Gambier, South Australia, Australia",-37.745555555555555,140.78527777777776
https://en.wikipedia.org/wiki/Michigan_City_Municipal_Airport,Michigan City Municipal Airport,MGC,KMGC,"Michigan City, Indiana, United States",41.70333333333333,-86.82111111111111
https://en.wikipedia.org/wiki/Magdalena_Airport,Magdalena Airport,MGD,SLMG,"Magdalena, Bolivia",-13.256944444444445,-64.0625
https://en.wikipedia.org/wiki/Dobbins_Air_Reserve_Base,Dobbins Air Reserve Base,MGE,KMGE,"Marietta, Georgia, United States",33.91540146,-84.51629639
https://en.wikipedia.org/wiki/Maring%C3%A1_Regional_Airport,Sílvio Name Júnior Regional Airport,MGF,SBMG,"Maringá, Paraná, Brazil",-23.479444444444443,-52.01222222222222
https://en.wikipedia.org/w/index.php?title=Margarima_Airport&action=edit&redlink=1,Margarima Airport,MGG,,"Margarima, Papua New Guinea",,
https://en.wikipedia.org/wiki/Margate_Airport,Margate Airport,MGH,FAMG,"Margate, South Africa",-30.859444444444446,30.343055555555555
https://en.wikipedia.org/w/index.php?title=Aransas_National_Wildlife_Refuge_Airport&action=edit&redlink=1,Aransas National Wildlife Refuge Airport[1] (FAA: XS10),MGI,,"Matagorda Island, Texas, United States",,
https://en.wikipedia.org/wiki/Orange_County_Airport_(New_York),Orange County Airport,MGJ,KMGJ,"Montgomery, New York, United States",41.51,-74.26472222222222
https://en.wikipedia.org/w/index.php?title=Mong_Ton_Airport&action=edit&redlink=1,Mong Ton Airport,MGK,VYMT,"Mong Ton, Myanmar",,
https://en.wikipedia.org/wiki/D%C3%BCsseldorf_M%C3%B6nchengladbach_Airport,Düsseldorf Mönchengladbach Airport,MGL,EDLN,"Mönchengladbach, North Rhine-Westphalia, Germany",51.23027777777778,6.504444444444444
